ID,STABR,god,RCP,Name,Data.poseva
0,PUSH,2019,rcp60,Fiskeby 1040-4-2,10.05.2019
1,PUSH,2020,rcp60,Fiskeby 1040-4-2,10.05.2020
2,PUSH,2021,rcp60,Fiskeby 1040-4-2,10.05.2021
3,PUSH,2022,rcp60,Fiskeby 1040-4-2,10.05.2022
4,PUSH,2023,rcp60,Fiskeby 1040-4-2,10.05.2023
5,PUSH,2024,rcp60,Fiskeby 1040-4-2,10.05.2024
6,PUSH,2025,rcp60,Fiskeby 1040-4-2,10.05.2025
7,PUSH,2026,rcp60,Fiskeby 1040-4-2,10.05.2026
8,PUSH,2027,rcp60,Fiskeby 1040-4-2,10.05.2027
9,PUSH,2028,rcp60,Fiskeby 1040-4-2,10.05.2028
10,PUSH,2029,rcp60,Fiskeby 1040-4-2,10.05.2029
11,PUSH,2030,rcp60,Fiskeby 1040-4-2,10.05.2030
